AuthorID,Author,Date,Content,Attachments,Reactions
"236639861371568129","Gamedev Hacker Femme Special#6597","25-Mar-20 06:25 PM","For potd 37, I'm failing ""testing your testing"" and ""did you test this"". Does this mean the prarielearn tests didn't find test cases for all the functions? and Do you have to create test cases in potd.cpp, or in main?","",""
"206101710802780160","Arctyx#3051","25-Mar-20 06:26 PM","Just a hunch,  I think it means that two of the functions should be the other value (0 or 1, depending on whether there's a bug or not)","",""
"168554902736338945","Galactic#3024","25-Mar-20 06:26 PM","yeah","",""
"168554902736338945","Galactic#3024","25-Mar-20 06:26 PM","thats correct","",""
"168554902736338945","Galactic#3024","25-Mar-20 06:27 PM","but the test cases are not in order","",""
"206101710802780160","Arctyx#3051","25-Mar-20 06:27 PM","^^^","",""
"236639861371568129","Gamedev Hacker Femme Special#6597","25-Mar-20 06:28 PM","ah that makes sense","",""
"166752999291617289","Piotr#7108","25-Mar-20 06:54 PM","To avoid 'hard-coding' the solution vector, the order of tests is randomized. So you know that exactly two of your choices are incorrect, but it won't tell you which ones are incorrect 🙂","",""
"691707927291101236","sandeep7#5651","25-Mar-20 07:53 PM","i'm a little confused about the function 1. the description says that we have a bool array but the array contains integers and the return type of a function is also an integer so i'm a little confused as to what data type the array is expected to hold","",""
"166752999291617289","Piotr#7108","25-Mar-20 07:59 PM","Ints can be bools too, if casted ;)
The type 'mismatch' isn't something you need to worry about","",""
"691707927291101236","sandeep7#5651","25-Mar-20 07:59 PM","okay thanks, just wanted to make sure","","👍 (1)"
"166752999291617289","Piotr#7108","25-Mar-20 08:38 PM","No worries 🙂","",""
"236311511260200960","TheTryHard#3226","26-Mar-20 02:10 PM","Can someone give me the definition of ""underflow""? I don't remember it from lecture, and neither PrairieLearn nor the Internet seem to have clear definitions. I have tried several different possible definitions with my code to no avail.","",""
