question,ans1,ans2,ans3
"Since we have an exam this week, Do we still have a lab this week and the lab itself due this sunday?",You still have lab and it is the same schedule as normal.,"Is there some place that says what is covered in the exam? Like everything up to iterators (including iterators), or will we see some stuff about trees?",https://courses.engr.illinois.edu/cs225/fa2021/exams/
"Is there some place that says what is covered in the exam? Like everything up to iterators (including iterators), or will we see some stuff about trees?",https://courses.engr.illinois.edu/cs225/fa2021/exams/,And specifically https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/,ok thank you
How similar are the exams going to be to the practice exam?,how do you get the multiply by 2 and add n for this answer?,wouldn't this be 2S(n/2) + 2n?,"just n at the end, cuz theres only one merge"
how do you get the multiply by 2 and add n for this answer?,wouldn't this be 2S(n/2) + 2n?,"just n at the end, cuz theres only one merge","this was asked on Piazza as well, but are the practice exams going to be available starting tomorrow?"
wouldn't this be 2S(n/2) + 2n?,"just n at the end, cuz theres only one merge","this was asked on Piazza as well, but are the practice exams going to be available starting tomorrow?",they better be
"this was asked on Piazza as well, but are the practice exams going to be available starting tomorrow?",they better be,Can anyone point out and explain which two are correct?,I understand e is def correct
Can anyone point out and explain which two are correct?,I understand e is def correct,D,As well
What is an operator<< is for an iterator? Why would it need one?,operator<< is the output stream override. The question is asking what operators iterators **don't** implement,Ohhhh. Thanks,They are quite similar in question style and structure but not exactly in length or question balance.
"Ah, will the exam be longer?",I am afraid I don't have an answer to that I thought that Prof. Beckman had intended to get stuff out tonight but I am not sure.,The practice exams are available now until the end of the semester. Later exams will have some questions pulled from the earlier material so they will still be there for practice later.,Similar mostly the practice is just pulling from three pools where is there is more control to make sure that there is even coverage on the actual exam.
Do this question assume deleting the data does not change were elements in the array are located or are they pushed up once? I assumed it would delete 2 like in my drawing.,It is unsorted so you can swap the element to remove with either head or tail whichever lets you remove without shifting.,"Ok, that makes sense","Does ""implemented in the best possible way"" mean it has a tail? What would make this runtime O(1)? &(*head_ + sizeOfList * bytes used per type) to get last element?"
"Does ""implemented in the best possible way"" mean it has a tail? What would make this runtime O(1)? &(*head_ + sizeOfList * bytes used per type) to get last element?",The runtime would be O(1) in the case where the singly linked list is sorted in reverse order (greatest to smallest),It's an O(1) access operation because you just fetch the head.,Ok
Does time complexity refer to average case? I thought it would refer to worst case where count overflows,I think O() means average.,What does answer e mean?,Big O is not average it is just a upperbound.
What does answer e mean?,Big O is not average it is just a upperbound.,It is saying that after n operations it take O(n) time.,B is incorrect because saying **each** insert is O(n) which is incorrect. There are some inserts which are O(1) and some which are O(n).
"Wait but if Big O is an upperbound, then why is d incorrect?","It's impossible (even in the worst possible scenario) to have n O(n) operations (giving us O(n^2), because we aren't resizing the array n times.",O(n^2) is above the possible minimal upper bound for this operation. How could you have a scenario where each insert takes O(n^2) time?,"If O(n) is an upper bound, isn't O(n^2) an upper bound?"
O(n^2) is above the possible minimal upper bound for this operation. How could you have a scenario where each insert takes O(n^2) time?,"If O(n) is an upper bound, isn't O(n^2) an upper bound?","If that was the case, wouldn't that defeat the purpose of doing big O analysis here entirely?",Yeah
"If O(n) is an upper bound, isn't O(n^2) an upper bound?","If that was the case, wouldn't that defeat the purpose of doing big O analysis here entirely?",Yeah,So why is it asking us that?
"If that was the case, wouldn't that defeat the purpose of doing big O analysis here entirely?",Yeah,So why is it asking us that?,I don't follow
